Mooring input file 'MooringTest/cable.dat' loaded successfully.
------------------------------------------------------
attempting to load saved_runs/cable_outputs/cablev2old_Line1.out
attempting to load saved_runs/cable_outputs/cablev2old_Line2.out
attempting to load saved_runs/cable_outputs/cablev2old_Line3.out
attempting to load saved_runs/cable_outputs/cabledev2_Line1.out
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-800.    0. -600.]
position2 (test):  [-800.    0. -600.]
position1 (control):  [-780.071    0.    -598.303]
position2 (test):  [-780.071    0.    -598.303]
position1 (control):  [-780.071    0.    -598.303]
position2 (test):  [-780.071    0.    -598.303]
position1 (control):  [-780.071    0.    -598.303]
position2 (test):  [-780.071    0.    -598.303]
position1 (control):  [-780.071    0.    -598.303]
position2 (test):  [-780.071    0.    -598.303]
position1 (control):  [-760.222    0.    -595.844]
position2 (test):  [-760.222    0.    -595.844]
position1 (control):  [-760.222    0.    -595.844]
position2 (test):  [-760.222    0.    -595.844]
position1 (control):  [-760.222    0.    -595.844]
position2 (test):  [-760.222    0.    -595.844]
position1 (control):  [-760.222    0.    -595.844]
position2 (test):  [-760.222    0.    -595.844]
position1 (control):  [-740.48     0.    -592.636]
position2 (test):  [-740.48     0.    -592.636]
position1 (control):  [-740.48     0.    -592.636]
position2 (test):  [-740.48     0.    -592.636]
position1 (control):  [-740.48     0.    -592.636]
position2 (test):  [-740.48     0.    -592.636]
position1 (control):  [-740.48     0.    -592.636]
position2 (test):  [-740.48     0.    -592.636]
position1 (control):  [-720.872    0.    -588.691]
position2 (test):  [-720.872    0.    -588.691]
position1 (control):  [-720.872    0.    -588.691]
position2 (test):  [-720.872    0.    -588.691]
position1 (control):  [-720.872    0.    -588.691]
position2 (test):  [-720.872    0.    -588.691]
position1 (control):  [-720.872    0.    -588.691]
position2 (test):  [-720.872    0.    -588.691]
position1 (control):  [-701.423    0.    -584.025]
position2 (test):  [-701.423    0.    -584.025]
position1 (control):  [-701.423    0.    -584.025]
position2 (test):  [-701.423    0.    -584.025]
position1 (control):  [-701.423    0.    -584.025]
position2 (test):  [-701.423    0.    -584.025]
position1 (control):  [-701.423    0.    -584.025]
position2 (test):  [-701.423    0.    -584.025]
position1 (control):  [-682.155    0.    -578.658]
position2 (test):  [-682.155    0.    -578.658]
